time,speed,rpm,gear
1662162271412,96.05,6195.24,4
1662162271426,96.28,6205.43,4
1662162271447,96.6,6259.42,4
1662162271461,97.01,6287.07,4
1662162271475,97.39,6286.69,4
1662162271496,97.65,6296.1,4
1662162271510,97.94,6343.69,4
1662162271530,98.38,6380.29,4
1662162271544,98.74,6373.12,4
1662162271559,98.98,6385.83,4
1662162271579,99.32,6438.94,4
1662162271593,99.71,6463.39,4
1662162271614,100.1,6469.23,4
1662162271628,100.36,6478.3,4
1662162271642,100.64,6523.05,4
1662162271663,101.1,6565.8,4
1662162271677,101.46,6552.92,4
1662162271698,101.69,6569.12,4
1662162271712,102.07,6626.33,4
1662162271726,102.44,6640.34,4
1662162271747,102.81,6654.83,4
1662162271760,103.11,6667.99,4
1662162271774,103.39,6703.63,4
1662162271795,103.81,6747.45,4
1662162271809,104.2,6747.12,4
1662162271830,104.46,6757.18,4
1662162271844,104.78,6806.89,4
1662162271858,105.21,6839.33,4
1662162271879,105.59,6837.46,4
1662162271893,105.85,6850.86,4
1662162271914,106.18,6901.06,4
1662162271928,106.59,6930.38,4
1662162271942,106.98,6933.43,4
1662162271963,107.25,6946.35,4
1662162271977,107.56,6993.58,4
1662162271998,108.0,7029.68,4
1662162272012,108.38,7027.25,4
1662162272026,108.64,7041.23,4
1662162272047,108.99,7094.29,4
1662162272061,109.4,7119.89,4
1662162272075,109.78,7126.96,4
1662162272096,110.07,7140.01,4
1662162272110,110.37,7183.76,4
1662162272131,110.83,7226.57,4
1662162272145,111.21,7219.78,4
1662162272159,111.46,7234.09,4
1662162272179,111.84,7293.12,4
1662162272193,112.23,7310.23,4
1662162272214,112.62,7324.41,4
1662162272228,112.95,7338.66,4
1662162272242,113.24,7373.88,4
1662162272263,113.67,7419.92,4
1662162272277,114.07,7423.5,4
1662162272291,114.36,7436.45,4
1662162272312,114.67,7483.7,4
1662162272326,115.13,7523.47,4
1662162272347,115.53,7520.52,4
1662162272360,115.79,7532.97,4
1662162272374,116.17,7591.55,4
1662162272395,116.59,7612.66,4
1662162272409,116.98,7621.19,4
1662162272430,117.3,7640.56,4
1662162272444,117.62,7677.17,4
